Program,Type,Ratio,Transfer Time
Aeromexico,Airline,1:1,Instant
Air Canada Aeroplan,Airline,1:1,Instant
Air France/KLM,Airline,1:1,Instant
Avianca LifeMiles,Airline,1:1,Instant
British Airways,Airline,1:1,Instant
Cathay Pacific AsiaMiles,Airline,1:1,Up to five business days
Emirates,Airline,1:1,Instant
Etihad,Airline,1:1,Up to 1 day
EVA Air,Airline,2:1.5,Up to five business days
Finnair,Airline,1:1,Instant
JetBlue,Airline,2:1.2,TBD
Qantas,Airline,1:1,Instant
Singapore,Airline,1:1,Instant
TAP Air Portugal,Airline,1:1,Same day
Turkish Airlines,Airline,1:1,Same day
Virgin Red,Other,1:1,Same day
Accor,Hotel,2:1,Up to two business days
Wyndham,Hotel,1:1,Same day
Choice Hotels,Hotel,1:1,Same day
