Frequent Flyer Program,Marriott Rewards Points to Partner Airline Miles,Transfer Time
Aegean Airlines,3:1,3 days
Aer Lingus AerClub,3:1,3 days
AeroMexico ClubPremier,3:1,4 days
Air Canada Aeroplan,3:1,4 days
Air China Phoenix Miles,3:1,No data
Air France/KLM Flying Blue,3:1,3 days
Air New Zealand Airpoints™,200:1,24 hours
Alaska Airlines Mileage Plan®,3:1,4 days
American Airlines,3:1,48 hours
ANA Mileage Club,3:1,4 days
Asiana Airlines Asiana Club,3:1,4 days
Avianca LifeMiles,3:1,24 hours
British Airways Executive Club,3:1,3 days
Cathay Pacific Asia Miles™,3:1,5 days
China Southern Airlines Sky Pearl Club,3:1,No data
Copa Airlines ConnectMiles,3:1,3 days
Delta SkyMiles®,3:1,24 hours
Emirates Skywards®,3:1,3 days
Etihad Guest,3:1,3 days
Frontier Airlines Miles,3:1,6 weeks
Hainan Airlines,3:1,8 days
Hawaiian Airlines HawaiianMiles®,3:1,24 hours
Iberia Plus,3:1,24 hours
InterMiles,3:1,7 days
Japan Airlines JAL Mileage Bank,3:1,48 hours
LATAM Airlines LATAM Pass,3:1,No data
Lufthansa Miles & More,3:1,No data
Qantas Frequent Flyer,3:1,48 hours
Qatar Airways Privilege Club,3:1,3 days
Saudia Airlines,3:1,5 days
Singapore Airlines KrisFlyer®,3:1,48 hours
Southwest Airlines Rapid Rewards®,3:1,24 hours
TAP Air Portugal Miles&Go,3:1,No data
THAI Airways,3:1,4 days
Turkish Airlines Miles&Smiles,3:1,3 days
United MileagePlus®,3:1.1,3 days
Virgin Atlantic® Flying Club,3:1,48 hours
Vueling Club,3:1,No data
