Partner,Type,Transfer Ratio,Transfer Time
Air France/KLM Flying Blue,Airline,1:1,Instant
Air India Maharaja Club,Airline,1:1,Instant
Accor Live Limitless (ALL),Hotel,1.5:1,Instant
Aeromexico Rewards,Airline,1:1,Instant
Cathay Pacific Asia Miles,Airline,1:1,Instant
Etihad Guest,Airline,1:1,Instant
Finnair Plus,Airline,1:1,Instant
Hainan Airlines Fortune Wings Club,Airline,1:1,Instant
Japan Airlines (JAL) Mileage Bank,Airline,1:1,Instant
Lufthansa Miles & More,Airline,1:1,Instant
Vietnam Airlines Lotusmiles,Airline,1:1,Instant
Qatar Airways Privilege Club,Airline,1:1,Instant
SAS EuroBonus,Airline,1:1,Instant
Thai Airways Royal Orchid Plus,Airline,1:1,Instant
Turkish Airlines Miles&Smiles,Airline,1:1,Instant
